doc_number,positive,negative,ratio_pos_over_neg,positive_ratio,negative_ratio,net_ratio,length,parent_doc,offset,from,to,subj,sent,cc,questions,chars
C05739554,0,0,0,0.0,0.0,0.0,11,,1,Hillary Clinton,Huma Abedin,Fw: H: Latest: How Syria is aiding Qaddafi and more... Sid,"Friday, March 11, 2011 1:36 PM",,,63
C05739559,0,0,0,0.0,0.0,0.0,28,,1,Hillary Clinton,°Russorv@state.gov',Fw: Meet The Right-Wing Extremist Behind Anti-fvluslim Film That Sparked Deadly Riots,"Wednesday, September 12, 2012 01:00 PM",,,233
C05739561,0,0,0,0.0,0.0,0.0,11,,1,Hillary Clinton,Huma Abedin,Fw: H: Latest: How Syria is aiding Qaddafi and more... Sid,"Friday, March 11, 2011 1:36 PM",,,63
C05739579,0,0,0,0.0,0.0,0.0,17,,1,Hillary Clinton,°Russont@state.gov°,Fw: Fwd: more on libya,,,,90
C05739580,0,1,0.0,0.0,0.0714285714286,-0.0714285714286,14,,1,Hillary Clinton,Robert Russo,Fw: H: Magariaf on attack on US in Libya. Sid,"Wednesday, September 12, 2012 11:30 PM",,,75
C05739583,0,4,0.0,0.0,0.173913043478,-0.173913043478,23,,1,Hillary Clinton,Jacob Sullivan,Fw: H: Magariaf on attack on US in Libya. Sid,"Wednesday, September 12, 2012 11:30 PM",,,121
C05739586,0,0,0,0.0,0.0,0.0,1,,3,Hillary Clinton,"Sullivan, Jacob J",Re: Proposed Quad Deal,"Wednesday, March 23, 2011 09:04 PM",,,0
C05739588,0,0,0,0.0,0.0,0.0,14,,2,"H [mailto:HDR22@clintonemall,corn]",Jacob Sullivan,Fw: Fwd: more on libya,,,,73
C05739595,0,0,0,0.0,0.0,0.0,15,,1,Hillary Clinton,'Russorv@state.gov°,Fw: Quick Summary of POTUS Calls to Presidents of Libya and Egypt,"Thursday, September 13, 2012 4:40 PM",,,66
C05739610,0,1,0.0,0.0,0.0833333333333,-0.0833333333333,12,,1,Hillary Clinton, Oscar Flores,Fw: Benhazi/protest statements,"Sunday, September 30, 2012 10:17 PM",,,70
C05739611,0,0,0,0.0,0.0,0.0,12,,1,Hillary Clinton,Jacob Sullivan,Re: Libyan,"Tuesday, March 29, 2011 1047 PM",,,51
C05739614,1,0,0,0.0555555555556,0.0,0.0555555555556,18,,2,H [mallto:HDR22eclintonemall.cornj,"Sullivan, Jacob J",Re: Libyan,"Tuesday, March 29, 2011 10:46 PM",,,77
C05739617,0,0,0,0.0,0.0,0.0,12,,1,Hillary Clinton,Jacob Sullivan,Re. Libyan,"Wednesday, March 30, 2011 6:49 AM",,,46
C05739618,0,0,0,0.0,0.0,0.0,1,,1,Hillary Clinton,'su II iva gll@state.gov.,H: Romney's last gambit. Got done and published. Sid,"Monday, October 1, 2012 3:34 PM",,,0
C05739620,0,0,0,0.0,0.0,0.0,1,,2,Hillary Clinton,"Sullivan, Jacob J",Fw: H: Romney's last gambit Got done and published. Sid,"Monday, October 01, 2012 3:34 PM",,,0
C05739623,1,0,0,0.142857142857,0.0,0.142857142857,7,,2,Hillary Clinton,,Re: H: Romney's last gambit. Got done and published. Sid,"mon, octl,",,,25
C05739627,6,4,1.5,0.0504201680672,0.0336134453782,0.0168067226891,119,,1,Hillary Clinton,'sullivahu@state.gov',Fw: H: Romney's last gambit Got done and published. Sid,"'Monday, October 1, 2012 3:51 PM",,,644
C05739627,1,0,0,0.166666666667,0.0,0.166666666667,6,,2,Hillary Clinton, ini,Re: H: Romney 's last gambit. Got done and published. Sid,"Mon, Oct 1, 2012 3:3-41",,,24
C05739629,0,0,0,0.0,0.0,0.0,3,,2,Hillary Clinton,"Sullivan, Jacob J",Fvv: H: Romney's last gambit Got done and published. Sid,"Monday, October 01, 2012 3:51 PM",,,10
C05739632,0,1,0.0,0.0,0.2,-0.2,5,,2,Hillary Clinton,,Re: gorgeous pie on the front page of the NYTI,"Friday, April 01, 2011 11:18 AM",,,20
C05739633,0,0,0,0.0,0.0,0.0,2,,1,Hillary Clinton,Robert Russo,Fw: Fwd: Benghazi was obama's 3 am call,"Wednesday, October 3, 2012 12:05 PM",,,9
C05739638,1,0,0,0.0555555555556,0.0,0.0555555555556,18,,1,Hillary Clinton,Jacob Sullivan,Re: Brits and Libya,,,,88
C05739638,4,2,2.0,0.0363636363636,0.0181818181818,0.0181818181818,110,,3,Hillary Clinton,"Suliivan, Jacob",Re: Brits and Libya,"Saturday, April 02, 2011 10:23 AM",Huma Abedin,,485
C05739639,2,0,0,0.0909090909091,0.0,0.0909090909091,22,,2,H [mai1to:HDR22.clintonernall.corn),Jacob Sullivan,Re: Brits and Libya,"Saturday, April 02, 2011 11:59 AM",Huma Abedin,,114
C05739639,1,0,0,0.05,0.0,0.05,20,,3,H (mailto:HDR22@clintonemailcoml,Jacob Sullivan,Re: Brits and Libya,"Saturday, April 02, 2011 10:23 AM",Hurria Abedin <Hurna@clintonernail.corn>,,69
C05739640,0,0,0,0.0,0.0,0.0,3,,1,Hillary Clinton,Robert Russo,Fw: CNN Belief Blog. Prothero,"Friday, September 14, 2012 8:56 PM",,,10
C05739645,2,0,0,0.0512820512821,0.0,0.0512820512821,39,,2,H [mailto:HDR22@clintonemail.comJ,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 10:43 AM",,,156
C05739647,2,0,0,0.153846153846,0.0,0.153846153846,13,,1,Hillary Clinton,Jacob Sullivan,Fw: H: Great to see you. Drop in again. Here's Libya. Sid,"Sunday, October 7, 2012 11:02 AM",,,78
C05739650,1,0,0,0.0769230769231,0.0,0.0769230769231,13,,2,Hillary Clinton,,Re. H: Great to see you Drop in again. Here's Libya. Sid,"Sun, Oct 7, 2012 11",,,83
C05739651,2,0,0,0.333333333333,0.0,0.333333333333,6,,2,Hillary Clinton," 'Sullivan, Jacob 3'",Fw: H: Great to see you. Drop in again. Here's Libya. Sid,"Sunday, October 07, 2012 11:02 AM",,,30
C05739652,1,0,0,0.2,0.0,0.2,5,,1,Hillary Clinton,Huma Abedin,Re: Saudi Grand Mufti calls attacks on foreign embassies un-istamic (Reuters),"Saturday, September 15, 2012 2:14 PM",,,22
C05739656,0,0,0,0.0,0.0,0.0,12,,1,Hillary Clinton,Cheryl Mills,Re: The Cable: Romney to compare Benghazi to original 9/11 attacks,,,,50
C05739660,1,1,1.0,0.0625,0.0625,0.0,16,,1,Hillary Clinton, 'SullivanJJ@state.govi,Fvv: H: UK game playing; new rebel strategists; Egypt moves in Sid,"Friday, April 8, 2011 5:35 PM",,,85
C05739664,4,1,4.0,0.0975609756098,0.0243902439024,0.0731707317073,41,,1,Hillary Clinton,Monica Hanley,Re: Question and update,"Saturday, September 15, 2012 6:36 PM",,,165
C05739667,1,0,0,0.0344827586207,0.0,0.0344827586207,29,,1,Hillary Clinton,'hanleyrnr@state.gov',Re: PDB,,,,137
C05739667,2,0,0,0.105263157895,0.0,0.105263157895,19,,3,Hillary Clinton,Monica Hanley,Re: P013,"Saturday, September 15, 2012 06:30 PM",,,72
C05739667,0,0,0,0.0,0.0,0.0,7,,5,H [mailto:HDR22@clintonemaii.comj,Monica Hanley,Re: PDB,"Saturday, September 15, 2012 01:10 PM",,,27
C05739667,1,0,0,0.1,0.0,0.1,10,,7,H fmailto:HDR22@clintonemail.comj,Monica Hanley,Re: PDS,"Saturday, September 15, 2012 11:06 AM",,,45
